time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
0.00010437,0,-3.35667,-3.29488,2.87989,-0.00567556,-0.0332564,-0.00452738,0.0862863,0,0,0
0.00010437,1,-3.2014,-7.19297,4.88305,-0.0735926,-0.0743255,-0.00549285,0.26563,0,0,0
0.00010437,2,-3.26235,-3.19626,6.87109,-0.0478548,-0.0743467,0.00366526,0.227399,0,0,0
0.00010437,3,0,0,0,0,0,0,0,0,0,0
0.00010437,4,0,0,0,0,0,0,0,0,0,0
0.00010437,5,0,0,0,0,0,0,0,0,0,0
0.0698651,0,-3.35736,-3.29685,2.87968,-0.00640784,-0.0317885,-0.00438122,4.35103,0,0,0
0.0698651,1,-3.20597,-7.19773,4.88281,-0.0714867,-0.0722581,-0.00534051,7.44546,0,0,0
0.0698651,2,-3.26511,-3.2004,6.8713,-0.0464494,-0.071631,0.00350302,4.02978,0,0,0
0.0698651,3,0,0,0,0,0,0,0,0,0,0
0.0698651,4,0,0,0,0,0,0,0,0,0,0
0.0698651,5,0,0,0,0,0,0,0,0,0,0
0.120068,0,-3.35763,-3.29857,2.87941,-0.00563291,-0.0302219,-0.00363702,5.48141,0,0,0
0.120068,1,-3.20905,-7.20097,4.8826,-0.0656831,-0.0664008,-0.00516035,8.77712,0,0,0
0.120068,2,-3.26511,-3.2004,6.8713,-0.0464494,-0.071631,0.00350302,4.02978,0,0,0
0.120068,3,0,0,0,0,0,0,0,0,0,0
0.120068,4,0,0,0,0,0,0,0,0,0,0
0.120068,5,0,0,0,0,0,0,0,0,0,0
0.175342,0,-3.35819,-3.30085,2.87919,-0.00585991,-0.0308095,-0.00332962,5.48141,0,0,0
0.175342,1,-3.21217,-7.20417,4.88237,-0.0610097,-0.0614107,-0.00520497,8.77712,0,0,0
0.175342,2,-3.26808,-3.20543,6.87149,-0.044522,-0.0699973,0.0033167,4.03997,0,0,0
0.175342,3,0,0,0,0,0,0,0,0,0,0
0.175342,4,0,0,0,0,0,0,0,0,0,0
0.175342,5,0,0,0,0,0,0,0,0,0,0
0.248455,0,-3.35864,-3.3027,2.87923,-0.00586051,-0.0302906,-0.00057805,5.48546,0,0,0
0.248455,1,-3.21707,-7.20938,4.88207,-0.0630239,-0.0640339,-0.00840411,8.78856,0,0,0
0.248455,2,-3.27199,-3.21188,6.87192,-0.038232,-0.0610886,0.00271056,4.03997,0,0,0
0.248455,3,0,0,0,0,0,0,0,0,0,0
0.248455,4,0,0,0,0,0,0,0,0,0,0
0.248455,5,0,0,0,0,0,0,0,0,0,0
0.304264,0,-3.35901,-3.30445,2.8799,-0.00575981,-0.0296973,0.00928286,5.48546,0,0,0
0.304264,1,-3.22179,-7.21436,4.8817,-0.0640298,-0.0654177,-0.013895,8.78856,0,0,0
0.304264,2,-3.27435,-3.21587,6.87208,-0.0367058,-0.0594165,-0.00273094,4.04712,0,0,0
0.304264,3,0,0,0,0,0,0,0,0,0,0
0.304264,4,0,0,0,0,0,0,0,0,0,0
