shape,runs,convergence_mean,convergence_std,convergence_success_rate,min_distance_mean,min_distance_std,min_distance_min
cube,6,51.152603791833336,1.81760646734032,1.0,1.9143265920314834,0.6853091939915521,0.7530393942550423
flat-cube,6,41.56077299,3.7638147875762336,1.0,4.58073473973444,2.4766446465598158,0.9517818555472681
flat-sphere,6,47.31388065383334,5.374332903071485,1.0,2.8260830651422695,1.8054530967129794,1.5662497313327781
large-torus,6,34.552560983166664,2.7134528966704123,1.0,3.0183595180682974,1.4243993971228075,1.1459081681792829
pyramid,6,45.911756481,2.328160573685048,1.0,1.1266986059910653,0.3598995306878683,0.7837964198055515
sphere,6,43.074001904999996,1.455468265166553,1.0,2.212293398656873,1.1142617560389765,0.7106127621989351
torus,6,48.280768555,2.363134537722255,1.0,1.9700159464420484,0.7716584280633803,0.7280810461068191
