time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
6.537e-05,0,-0.000259725,-0.0442824,2.05999,0,0,3.55133e-08,2.06046,0,0,0
6.537e-05,1,2.99974,-0.0442824,2.05999,-6.24431e-17,5.75913e-17,1.41454e-07,3.63922,0,0,0
6.537e-05,2,2.99974,2.95572,2.05999,2.26289e-24,1.29308e-25,-4.79227e-08,4.6881,0,0,0
6.537e-05,3,0,0,0,0,0,0,0,0,0,0
6.537e-05,4,0,0,0,0,0,0,0,0,0,0
6.537e-05,5,0,0,0,0,0,0,0,0,0,0
0.0502254,0,-0.000259725,-0.0442824,2.05999,0,0,3.42355e-08,2.06046,0,0,0
0.0502254,1,2.99974,-0.0442824,2.05999,-5.99968e-17,5.86613e-17,1.47348e-07,3.63922,0,0,0
0.0502254,2,2.99974,2.95572,2.05999,2.26289e-24,1.29308e-25,-4.79227e-08,4.6881,0,0,0
0.0502254,3,0,0,0,0,0,0,0,0,0,0
0.0502254,4,0,0,0,0,0,0,0,0,0,0
0.0502254,5,0,0,0,0,0,0,0,0,0,0
0.100669,0,-0.000259725,-0.0442824,2.05999,0,0,3.54263e-08,2.06046,0,0,0
0.100669,1,2.99974,-0.0442824,2.05999,-6.65213e-17,7.68196e-17,1.54306e-07,3.63922,0,0,0
0.100669,2,2.99974,2.95572,2.05999,8.79835e-25,-6.62975e-25,1.83704e-08,4.6881,0,0,0
0.100669,3,0,0,0,0,0,0,0,0,0,0
0.100669,4,0,0,0,0,0,0,0,0,0,0
0.100669,5,0,0,0,0,0,0,0,0,0,0
0.151893,0,-0.000259725,-0.0442824,2.05999,0,0,3.53435e-08,2.06046,0,0,0
0.151893,1,2.99974,-0.0442824,2.05999,-5.57537e-17,6.14182e-17,1.6011e-07,3.63922,0,0,0
0.151893,2,2.99974,2.95572,2.05999,8.29775e-24,-4.65654e-24,1.03805e-07,4.6881,0,0,0
0.151893,3,0,0,0,0,0,0,0,0,0,0
0.151893,4,0,0,0,0,0,0,0,0,0,0
0.151893,5,0,0,0,0,0,0,0,0,0,0
0.202904,0,-0.000259725,-0.0442824,2.05999,0,0,3.72762e-08,2.06046,0,0,0
0.202904,1,2.99974,-0.0442824,2.05999,-5.35246e-17,6.23965e-17,1.66931e-07,3.63922,0,0,0
0.202904,2,2.99974,2.95572,2.05999,9.5467e-24,-2.90731e-24,1.22267e-07,4.6881,0,0,0
0.202904,3,0,0,0,0,0,0,0,0,0,0
0.202904,4,0,0,0,0,0,0,0,0,0,0
0.202904,5,0,0,0,0,0,0,0,0,0,0
0.261084,0,-0.000259725,-0.0442824,2.05999,0,0,4.13205e-08,2.06046,0,0,0
0.261084,1,2.99974,-0.0442824,2.05999,-5.11841e-17,6.34238e-17,1.72908e-07,3.63922,0,0,0
0.261084,2,2.99974,2.95572,2.05999,3.84937e-24,-6.85058e-25,9.67194e-08,4.6881,0,0,0
0.261084,3,0,0,0,0,0,0,0,0,0,0
0.261084,4,0,0,0,0,0,0,0,0,0,0
0.261084,5,0,0,0,0,0,0,0,0,0,0
0.314511,0,-0.000259725,-0.0442824,2.05999,0,0,4.58299e-08,2.06046,0,0,0
0.314511,1,2.99974,-0.0442824,2.05999,-4.8955e-17,6.44022e-17,1.77469e-07,3.63922,0,0,0
0.314511,2,2.99974,2.95572,2.05999,3.55511e-24,-6.43597e-25,9.08657e-08,4.6881,0,0,0
0.314511,3,0,0,0,0,0,0,0,0,0,0
0.314511,4,0,0,0,0,0,0,0,0,0,0
0.314511,5,0,0,0,0,0,0,0,0,0,0
0.369817,0,-0.000259725,-0.0442824,2.05999,0,0,5.08138e-08,2.06046,0,0,0
0.369817,1,2.99974,-0.0442824,2.05999,-3.97217e-17,4.66058e-17,1.85242e-07,3.63922,0,0,0
0.369817,2,2.99974,2.95572,2.05999,6.00122e-24,-6.10903e-25,7.10293e-08,4.6881,0,0,0
0.369817,3,0,0,0,0,0,0,0,0,0,0
0.369817,4,0,0,0,0,0,0,0,0,0,0
0.369817,5,0,0,0,0,0,0,0,0,0,0
0.421521,0,-0.000259725,-0.0442824,2.05999,0,0,5.21195e-08,2.06046,0,0,0
0.421521,1,2.99974,-0.0442824,2.05999,-3.72214e-17,4.68687e-17,1.94643e-07,3.63922,0,0,0
0.421521,2,2.99974,2.95572,2.05999,5.06456e-24,-1.22777e-24,6.50033e-08,4.6881,0,0,0
0.421521,3,0,0,0,0,0,0,0,0,0,0
0.421521,4,0,0,0,0,0,0,0,0,0,0
0.421521,5,0,0,0,0,0,0,0,0,0,0
0.471661,0,-0.000259725,-0.0442824,2.05999,0,0,5.72728e-08,2.06046,0,0,0
0.471661,1,2.99974,-0.0442824,2.05999,-3.23236e-17,2.37532e-17,2.03771e-07,3.63922,0,0,0
0.471661,2,2.99974,2.95572,2.05999,2.16089e-24,-2.65297e-24,6.34331e-08,4.6881,0,0,0
0.471661,3,0,0,0,0,0,0,0,0,0,0
0.471661,4,0,0,0,0,0,0,0,0,0,0
0.471661,5,0,0,0,0,0,0,0,0,0,0
0.521814,0,-0.000259725,-0.0442824,2.05999,0,0,6.09332e-08,2.06046,0,0,0
0.521814,1,2.99974,-0.0442824,2.05999,-2.08408e-17,6.09311e-18,2.10417e-07,3.63922,0,0,0
0.521814,2,2.99974,2.95572,2.05999,-5.56128e-25,-4.3378e-24,5.99581e-08,4.6881,0,0,0
0.521814,3,0,0,0,0,0,0,0,0,0,0
0.521814,4,0,0,0,0,0,0,0,0,0,0
0.521814,5,0,0,0,0,0,0,0,0,0,0
0.577036,0,-0.000259725,-0.0442824,2.05999,0,0,6.37445e-08,2.06046,0,0,0
0.577036,1,2.99974,-0.0442824,2.05999,-1.78984e-17,4.82442e-18,2.1737e-07,3.63922,0,0,0
0.577036,2,2.99974,2.95572,2.05999,-6.53644e-25,-5.70719e-24,5.78498e-08,4.6881,0,0,0
0.577036,3,0,0,0,0,0,0,0,0,0,0
0.577036,4,0,0,0,0,0,0,0,0,0,0
0.577036,5,0,0,0,0,0,0,0,0,0,0
0.627232,0,-0.000259725,-0.0442824,2.05999,0,0,7.04769e-08,2.06046,0,0,0
0.627232,1,2.99974,-0.0442824,2.05999,-1.25053e-17,-1.98816e-17,2.24864e-07,3.63922,0,0,0
0.627232,2,2.99974,2.95572,2.05999,4.48866e-25,-5.05213e-24,5.66311e-08,4.6881,0,0,0
0.627232,3,0,0,0,0,0,0,0,0,0,0
0.627232,4,0,0,0,0,0,0,0,0,0,0
0.627232,5,0,0,0,0,0,0,0,0,0,0
0.677406,0,-0.000259725,-0.0442824,2.05999,0,0,7.6589e-08,2.06046,0,0,0
0.677406,1,2.99974,-0.0442824,2.05999,-5.79284e-19,-3.90361e-17,2.11694e-07,3.63922,0,0,0
0.677406,2,2.99974,2.95572,2.05999,9.46843e-25,-2.53136e-24,5.72911e-08,4.6881,0,0,0
0.677406,3,0,0,0,0,0,0,0,0,0,0
0.677406,4,0,0,0,0,0,0,0,0,0,0
0.677406,5,0,0,0,0,0,0,0,0,0,0
0.732952,0,-0.000259725,-0.0442824,2.05999,0,0,7.929e-08,2.06046,0,0,0
0.732952,1,2.99974,-0.0442824,2.05999,2.81554e-18,-4.1835e-17,1.55939e-07,3.63922,0,0,0
0.732952,2,2.99974,2.95572,2.05999,1.67018e-24,9.74273e-25,5.89509e-08,4.6881,0,0,0
0.732952,3,0,0,0,0,0,0,0,0,0,0
0.732952,4,0,0,0,0,0,0,0,0,0,0
0.732952,5,0,0,0,0,0,0,0,0,0,0
0.783204,0,-0.000259725,-0.0442824,2.05999,0,0,8.08764e-08,2.06046,0,0,0
0.783204,1,2.99974,-0.0442824,2.05999,1.11798e-17,-6.55319e-17,1.06144e-07,3.63922,0,0,0
0.783204,2,2.99974,2.95572,2.05999,2.70895e-24,3.63653e-24,6.25034e-08,4.6881,0,0,0
0.783204,3,0,0,0,0,0,0,0,0,0,0
0.783204,4,0,0,0,0,0,0,0,0,0,0
0.783204,5,0,0,0,0,0,0,0,0,0,0
0.833367,0,-0.000259725,-0.0442824,2.05999,0,0,8.83655e-08,2.06046,0,0,0
0.833367,1,2.99974,-0.0442824,2.05999,4.22954e-18,-5.48538e-17,8.13881e-08,3.63922,0,0,0
0.833367,2,2.99974,2.95572,2.05999,3.25273e-24,2.48738e-24,6.30322e-08,4.6881,0,0,0
0.833367,3,0,0,0,0,0,0,0,0,0,0
0.833367,4,0,0,0,0,0,0,0,0,0,0
0.833367,5,0,0,0,0,0,0,0,0,0,0
0.894194,0,-0.000259725,-0.0442824,2.05999,0,0,9.63194e-08,2.06046,0,0,0
0.894194,1,2.99974,-0.0442824,2.05999,1.22786e-17,-7.89183e-17,6.02963e-08,3.63922,0,0,0
0.894194,2,2.99974,2.95572,2.05999,1.90225e-25,5.70676e-25,6.26659e-08,4.6881,0,0,0
0.894194,3,0,0,0,0,0,0,0,0,0,0
0.894194,4,0,0,0,0,0,0,0,0,0,0
0.894194,5,0,0,0,0,0,0,0,0,0,0
0.944403,0,-0.000259725,-0.0442824,2.05999,0,0,9.95002e-08,2.06046,0,0,0
0.944403,1,2.99974,-0.0442824,2.05999,1.38539e-17,-8.45381e-17,3.58947e-08,3.63922,0,0,0
0.944403,2,2.99974,2.95572,2.05999,-2.03279e-24,-1.73003e-24,6.41165e-08,4.6881,0,0,0
0.944403,3,0,0,0,0,0,0,0,0,0,0
0.944403,4,0,0,0,0,0,0,0,0,0,0
0.944403,5,0,0,0,0,0,0,0,0,0,0
0.994665,0,-0.000259725,-0.0442824,2.05999,0,0,1.05964e-07,2.06046,0,0,0
0.994665,1,2.99974,-0.0442824,2.05999,8.28467e-18,-7.14197e-17,1.66737e-08,3.63922,0,0,0
0.994665,2,2.99974,2.95572,2.05999,-5.46924e-24,-1.25172e-24,6.68684e-08,4.6881,0,0,0
0.994665,3,0,0,0,0,0,0,0,0,0,0
0.994665,4,0,0,0,0,0,0,0,0,0,0
0.994665,5,0,0,0,0,0,0,0,0,0,0
1.04529,0,-0.000259725,-0.0442824,2.05999,0,0,1.12721e-07,2.06046,0,0,0
1.04529,1,2.99974,-0.0442824,2.05999,7.34707e-18,-7.85608e-17,5.1888e-09,3.63922,0,0,0
1.04529,2,2.99974,2.95572,2.05999,-8.84525e-24,1.89286e-24,7.05923e-08,4.6881,0,0,0
1.04529,3,0,0,0,0,0,0,0,0,0,0
1.04529,4,0,0,0,0,0,0,0,0,0,0
1.04529,5,0,0,0,0,0,0,0,0,0,0
