time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
6.7455e-05,0,-1.68072,0.105179,4.57913,-0.0868692,0.0178579,0.0675191,0.549736,0,0,0
6.7455e-05,1,0.458314,0.474404,6.66444,0.0378226,-0.00135049,-0.0129243,0.555451,0,0,0
6.7455e-05,2,1.26154,0.0978447,3.73703,0.148699,0.0437921,0.131373,0.161744,0,0,0
6.7455e-05,3,0,0,0,0,0,0,0,0,0,0
6.7455e-05,4,0,0,0,0,0,0,0,0,0,0
6.7455e-05,5,0,0,0,0,0,0,0,0,0,0
0.0590174,0,-1.6854,0.105758,4.58266,-0.0903915,0.0172829,0.0580673,0.540404,0,0,0
0.0590174,1,0.458773,0.474078,6.6635,0.0358937,-0.00195689,-0.0213518,0.247299,0,0,0
0.0590174,2,1.29797,0.0952477,3.7368,0.245607,0.0289008,0.11047,0.161744,0,0,0
0.0590174,3,0,0,0,0,0,0,0,0,0,0
0.0590174,4,0,0,0,0,0,0,0,0,0,0
0.0590174,5,0,0,0,0,0,0,0,0,0,0
0.115918,0,-1.68891,0.105654,4.58607,-0.0890237,0.014358,0.0513061,0.540404,0,0,0
0.115918,1,0.458988,0.473565,6.66216,0.0336009,-0.00311286,-0.0292469,0.247299,0,0,0
0.115918,2,1.31684,0.096854,3.74219,0.275437,0.0302755,0.0927084,0.432935,0,0,0
0.115918,3,0,0,0,0,0,0,0,0,0,0
0.115918,4,0,0,0,0,0,0,0,0,0,0
0.115918,5,0,0,0,0,0,0,0,0,0,0
0.184246,0,-1.68892,0.104394,4.58747,-0.0760355,0.0073022,0.0437493,0.536587,0,0,0
0.184246,1,0.458829,0.472911,6.6606,0.0307357,-0.00457062,-0.0422653,0.249137,0,0,0
0.184246,2,1.33193,0.0987729,3.74694,0.289605,0.0316511,0.0791149,0.432935,0,0,0
0.184246,3,0,0,0,0,0,0,0,0,0,0
0.184246,4,0,0,0,0,0,0,0,0,0,0
0.184246,5,0,0,0,0,0,0,0,0,0,0
0.243832,0,-1.6924,0.105082,4.58982,-0.076872,0.00825031,0.037237,0.534999,0,0,0
0.243832,1,0.458973,0.472279,6.65831,0.0289698,-0.00568055,-0.0495762,0.249137,0,0,0
0.243832,2,1.34671,0.0999424,3.75486,0.298471,0.0311138,0.0688295,0.436197,0,0,0
0.243832,3,0,0,0,0,0,0,0,0,0,0
0.243832,4,0,0,0,0,0,0,0,0,0,0
0.243832,5,0,0,0,0,0,0,0,0,0,0
0.294013,0,-1.692,0.104146,4.59096,-0.063634,0.00299934,0.031684,0.534999,0,0,0
0.294013,1,0.459684,0.471589,6.65655,0.0297457,-0.00699991,-0.0538496,0.251935,0,0,0
0.294013,2,1.3515,0.101673,3.75425,0.274226,0.0334235,0.057714,0.436197,0,0,0
0.294013,3,0,0,0,0,0,0,0,0,0,0
0.294013,4,0,0,0,0,0,0,0,0,0,0
0.294013,5,0,0,0,0,0,0,0,0,0,0
0.349527,0,-1.69575,0.104743,4.59212,-0.0640856,0.00396275,0.0280422,0.533085,0,0,0
0.349527,1,0.461347,0.470932,6.65305,0.0335129,-0.00821433,-0.0556221,0.251935,0,0,0
0.349527,2,1.35817,0.101742,3.76094,0.260218,0.0299316,0.0478784,0.447938,0,0,0
0.349527,3,0,0,0,0,0,0,0,0,0,0
0.349527,4,0,0,0,0,0,0,0,0,0,0
0.349527,5,0,0,0,0,0,0,0,0,0,0
0.413972,0,-1.69297,0.104367,4.59332,-0.0543875,0.00223874,0.0241968,0.533085,0,0,0
