time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
6.9472e-05,0,-11.4634,-4.73714,2.30957,2.32633,2.87276,1.21762,11.7051,0,0,0
6.9472e-05,1,-12.2854,-1.56388,5.89544,-0.705575,2.24879,-1.87052,8.01027,0,0,0
6.9472e-05,2,-0.959609,-8.60004,7.95577,-2.28466,0.999628,0.308122,20.8813,0,0,0
6.9472e-05,3,3.34723,-6.20464,7.94993,0.520442,0.657654,-0.352153,14.1161,0,0,0
6.9472e-05,4,0.447525,-0.575528,1.23779,2.24366,2.01911,0.762596,9.61549,0,0,0
6.9472e-05,5,-0.692607,-4.38353,2.24196,1.83337,-0.761812,-0.448173,4.76765,0,0,0
0.128835,0,-11.336,-4.61486,2.36517,2.45776,2.82187,1.0748,17.5086,0,0,0
0.128835,1,-12.3311,-1.46031,5.80887,-0.709808,2.20575,-1.86423,12.6493,0,0,0
0.128835,2,-1.12887,-8.50856,7.94628,-2.55084,1.13697,0.402758,20.8813,0,0,0
0.128835,3,3.34233,-6.17785,7.93974,0.382328,0.62384,-0.311175,14.1161,0,0,0
0.128835,4,0.561872,-0.490836,1.29011,2.23817,1.96884,0.821195,9.61549,0,0,0
0.128835,5,-0.523721,-4.4412,2.23232,1.82412,-0.757302,-0.541525,19.8905,0,0,0
0.254535,0,-11.2084,-4.49461,2.41079,2.57117,2.76636,0.956479,17.5086,0,0,0
0.254535,1,-12.3677,-1.37856,5.72491,-0.668296,2.08,-1.8325,12.6493,0,0,0
0.254535,2,-1.26281,-8.44954,7.93516,-2.64742,1.13371,0.441659,12.3386,0,0,0
0.254535,3,3.33141,-6.15128,7.92882,0.243617,0.595305,-0.270099,18.5092,0,0,0
0.254535,4,0.675212,-0.408327,1.34269,2.23006,1.91768,0.878862,9.33358,0,0,0
0.254535,5,-0.538858,-4.4097,2.21752,1.76835,-0.640012,-0.535768,19.8905,0,0,0
0.383413,0,-11.0815,-4.37714,2.46321,2.65661,2.70572,0.844897,19.484,0,0,0
0.383413,1,-12.4249,-1.26051,5.64211,-0.721415,2.11136,-1.80289,12.6451,0,0,0
0.383413,2,-1.33043,-8.43834,7.92428,-2.49511,0.950597,0.387646,12.3386,0,0,0
0.383413,3,3.32158,-6.09683,7.91853,0.0704413,0.552086,-0.221178,18.5092,0,0,0
0.383413,4,0.782974,-0.332469,1.38855,2.205,1.85113,0.927857,9.33358,0,0,0
0.383413,5,-0.464008,-4.41463,2.18341,1.73655,-0.563604,-0.573684,19.8089,0,0,0
0.50964,0,-10.955,-4.26118,2.50521,2.72969,2.64539,0.715818,19.484,0,0,0
0.50964,1,-12.4695,-1.16113,5.64351,-0.711081,2.07753,-1.74045,12.6451,0,0,0
0.50964,2,-1.5409,-8.32446,7.91493,-2.86561,1.17965,0.516997,12.2358,0,0,0
0.50964,3,3.29171,-6.07136,7.90816,-0.0705505,0.530666,-0.184662,18.4297,0,0,0
0.50964,4,0.898746,-0.249575,1.4506,2.20893,1.81571,0.991683,11.0648,0,0,0
0.50964,5,-0.303827,-4.4456,2.18135,1.72965,-0.535331,-0.568639,19.8089,0,0,0
0.636003,0,-10.8298,-4.14656,2.54769,2.78485,2.58545,0.594106,19.484,0,0,0
0.636003,1,-12.505,-1.08275,5.56249,-0.646157,1.97048,-1.71827,12.449,0,0,0
0.636003,2,-1.69246,-8.26586,7.90584,-2.96463,1.16662,0.57376,12.2358,0,0,0
0.636003,3,3.26369,-6.07159,7.89883,-0.167323,0.531689,-0.161915,18.4297,0,0,0
0.636003,4,1.0089,-0.173194,1.51095,2.19648,1.76593,1.04572,11.0648,0,0,0
0.636003,5,-0.316897,-4.40881,2.16005,1.69108,-0.418982,-0.497422,19.6827,0,0,0
0.760353,0,-10.7067,-4.03298,2.59343,2.81784,2.52695,0.508598,19.1454,0,0,0
0.760353,1,-12.5606,-0.970084,5.48189,-0.669913,2.02348,-1.69461,12.449,0,0,0
0.760353,2,-1.84525,-8.2025,7.8912,-3.06496,1.17245,0.558157,12.0102,0,0,0
0.760353,3,3.21544,-6.01923,7.88984,-0.348824,0.500006,-0.119909,18.336,0,0,0
0.760353,4,1.11797,-0.0987021,1.57253,2.18205,1.72235,1.09169,10.7947,0,0,0
0.760353,5,-0.244064,-4.39826,2.13873,1.66835,-0.330208,-0.487685,19.6827,0,0,0
0.884283,0,-10.5867,-3.91998,2.63394,2.82788,2.47102,0.453627,19.1454,0,0,0
0.884283,1,-12.603,-0.874774,5.40217,-0.643022,2.02603,-1.61833,12.3073,0,0,0
0.884283,2,-2.00475,-8.1399,7.88028,-3.17381,1.17281,0.522388,12.0102,0,0,0
0.884283,3,3.19087,-6.01767,7.88077,-0.436062,0.509725,-0.100063,18.336,0,0,0
0.884283,4,1.22594,-0.0260928,1.6283,2.15941,1.67938,1.14779,10.7947,0,0,0
0.884283,5,-0.174903,-4.3872,2.0904,1.64114,-0.246592,-0.484765,19.6087,0,0,0
1.01051,0,-10.4708,-3.80717,2.67043,2.81343,2.42311,0.430143,18.816,0,0,0
1.01051,1,-12.6445,-0.780763,5.32439,-0.61588,2.02873,-1.53584,12.3073,0,0,0
1.01051,2,-2.16669,-8.07408,7.87632,-3.27462,1.18151,0.478881,11.8468,0,0,0
1.01051,3,3.11864,-5.96566,7.8721,-0.621845,0.484344,-0.0747964,18.2253,0,0,0
1.01051,4,1.3329,0.0445716,1.69953,2.13077,1.636,1.22276,10.5271,0,0,0
1.01051,5,-0.0268746,-4.37343,2.06742,1.6349,-0.160233,-0.378306,19.6087,0,0,0
1.13992,0,-10.3589,-3.69297,2.70375,2.77669,2.38971,0.433696,18.816,0,0,0
1.13992,1,-12.6751,-0.70427,5.17354,-0.560892,1.98272,-1.43837,12.171,0,0,0
1.13992,2,-2.33414,-8.00848,7.87234,-3.37993,1.18496,0.420593,11.8468,0,0,0
1.13992,3,3.06316,-5.93784,7.85879,-0.752978,0.481673,-0.0526863,18.2253,0,0,0
1.13992,4,1.43676,0.110948,1.76178,2.09493,1.58617,1.29714,10.5271,0,0,0
1.13992,5,-0.0232319,-4.34114,2.06841,1.64823,-0.0676402,-0.231414,19.4507,0,0,0
1.26949,0,-10.2521,-3.57718,2.73474,2.71911,2.36874,0.464917,18.4964,0,0,0
1.26949,1,-12.7236,-0.593517,5.10376,-0.598892,2.07313,-1.29688,12.171,0,0,0
1.26949,2,-2.5032,-7.93961,7.87101,-3.47475,1.20245,0.334797,11.6813,0,0,0
1.26949,3,2.98664,-5.90328,7.83483,-0.954062,0.513051,-0.0567534,18.1415,0,0,0
1.26949,4,1.54395,0.179184,1.83909,2.07119,1.54464,1.37775,10.2563,0,0,0
1.26949,5,0.0558343,-4.31109,2.02532,1.65253,0.0298461,-0.170603,19.4507,0,0,0
1.39561,0,-10.1503,-3.45901,2.76235,2.64216,2.36087,0.512251,18.4964,0,0,0
1.39561,1,-12.7574,-0.495039,5.04176,-0.585654,2.09601,-1.14583,12.0644,0,0,0
1.39561,2,-2.67375,-7.86788,7.87335,-3.55622,1.23257,0.240833,11.6813,0,0,0
1.39561,3,2.98664,-5.90328,7.83483,-0.954062,0.513051,-0.0567534,18.1415,0,0,0
1.39561,4,1.6498,0.244388,1.91504,2.0461,1.49687,1.45251,10.2563,0,0,0
1.39561,5,0.217704,-4.27322,2.00822,1.66816,0.10591,-0.0639364,19.3507,0,0,0
1.52665,0,-10.0532,-3.33787,2.78673,2.54951,2.36508,0.574688,18.1839,0,0,0
1.52665,1,-12.7902,-0.394559,4.98116,-0.573037,2.11374,-1.00632,12.0644,0,0,0
1.52665,2,-2.84444,-7.79262,7.8785,-3.62034,1.27649,0.15354,11.5134,0,0,0
1.52665,3,2.85861,-5.83566,7.80466,-1.19625,0.555168,-0.0227637,18.0043,0,0,0
1.52665,4,1.75527,0.307384,1.99163,2.0247,1.4464,1.5223,9.97849,0,0,0
1.52665,5,0.223835,-4.23779,1.99358,1.67511,0.210966,0.0534614,19.3507,0,0,0
1.66047,0,-9.96019,-3.21343,2.80963,2.44463,2.38249,0.635674,17.8743,0,0,0
1.66047,1,-12.8213,-0.290508,4.98285,-0.564394,2.14026,-0.87746,11.9178,0,0,0
1.66047,2,-3.01386,-7.71318,7.88659,-3.66519,1.33388,0.080648,11.5134,0,0,0
1.66047,3,2.85861,-5.83566,7.80466,-1.19625,0.555168,-0.0227637,18.0043,0,0,0
1.66047,4,1.86077,0.368544,2.0702,2.00848,1.39386,1.58777,9.97849,0,0,0
1.66047,5,0.317869,-4.19637,1.98022,1.71565,0.296329,0.139549,19.1876,0,0,0
1.79111,0,-9.86507,-3.08022,2.83395,2.36013,2.42282,0.706699,17.8743,0,0,0
