time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
5.3972e-05,0,-2.62673,0.873036,5.12275,0.00104324,0.00162146,0.000758364,8.31017,0,0,0
5.3972e-05,1,2.87657,1.62332,4.87228,-0.000937175,0.00102403,0.000616793,0.00368464,0,0,0
5.3972e-05,2,-1.41418,7.97148,1.31412,1.0479e-05,-1.14721e-05,2.06634e-06,2.40568,0,0,0
5.3972e-05,3,0,0,0,0,0,0,0,0,0,0
5.3972e-05,4,0,0,0,0,0,0,0,0,0,0
5.3972e-05,5,0,0,0,0,0,0,0,0,0,0
0.050464,0,-2.62667,0.873134,5.12279,0.0010041,0.00153912,0.000742614,8.31017,0,0,0
0.050464,1,2.87651,1.62338,4.87231,-0.000875252,0.000959108,0.00060265,0.00368464,0,0,0
0.050464,2,-1.41418,7.97148,1.31412,1.02868e-05,-1.12599e-05,2.08001e-06,2.40568,0,0,0
0.050464,3,0,0,0,0,0,0,0,0,0,0
0.050464,4,0,0,0,0,0,0,0,0,0,0
0.050464,5,0,0,0,0,0,0,0,0,0,0
0.103169,0,-2.6266,0.873245,5.12282,0.000960313,0.00151422,0.000728826,8.31023,0,0,0
0.103169,1,2.87646,1.62344,4.87232,-0.000855399,0.000936531,0.000599209,2.70242,0,0,0
0.103169,2,-1.41417,7.97148,1.31412,1.02064e-05,-1.11678e-05,2.07173e-06,2.40568,0,0,0
0.103169,3,0,0,0,0,0,0,0,0,0,0
0.103169,4,0,0,0,0,0,0,0,0,0,0
0.103169,5,0,0,0,0,0,0,0,0,0,0
0.159307,0,-2.62653,0.873349,5.12286,0.000957804,0.00147233,0.000748662,8.31023,0,0,0
0.159307,1,2.87641,1.62349,4.87235,-0.00083643,0.000915204,0.00118337,2.70242,0,0,0
0.159307,2,-1.41417,7.97148,1.31413,1.01335e-05,-1.10859e-05,2.06075e-06,2.40568,0,0,0
0.159307,3,0,0,0,0,0,0,0,0,0,0
0.159307,4,0,0,0,0,0,0,0,0,0,0
0.159307,5,0,0,0,0,0,0,0,0,0,0
0.212064,0,-2.62645,0.873441,5.12293,0.000965615,0.0014065,0.000953225,8.31026,0,0,0
0.212064,1,2.87637,1.62354,4.87252,-0.000799277,0.000875363,0.00500045,2.70255,0,0,0
0.212064,2,-1.41417,7.97148,1.31413,1.00658e-05,-1.10104e-05,2.05009e-06,2.40568,0,0,0
0.212064,3,0,0,0,0,0,0,0,0,0,0
0.212064,4,0,0,0,0,0,0,0,0,0,0
0.212064,5,0,0,0,0,0,0,0,0,0,0
0.262944,0,-2.62623,0.873401,5.1231,0.00148974,0.000859657,0.00142218,8.31026,0,0,0
0.262944,1,2.87642,1.62348,4.87301,-0.000666033,0.00073479,0.0160818,2.70255,0,0,0
0.262944,2,-1.41417,7.97148,1.31413,1.00006e-05,-1.0938e-05,2.03939e-06,2.40568,0,0,0
0.262944,3,0,0,0,0,0,0,0,0,0,0
0.262944,4,0,0,0,0,0,0,0,0,0,0
0.262944,5,0,0,0,0,0,0,0,0,0,0
0.318257,0,-2.62563,0.872978,5.12444,0.00325871,-0.000934101,0.0029192,8.30936,0,0,0
0.318257,1,2.87699,1.62292,4.87426,0.00067549,-0.000654659,0.0338569,2.70247,0,0,0
0.318257,2,-1.41417,7.97148,1.31413,9.85131e-06,-1.07571e-05,2.0322e-06,2.40568,0,0,0
0.318257,3,0,0,0,0,0,0,0,0,0,0
0.318257,4,0,0,0,0,0,0,0,0,0,0
0.318257,5,0,0,0,0,0,0,0,0,0,0
0.37609,0,-2.6238,0.87133,5.12478,0.00920844,-0.00683499,0.00614677,8.30936,0,0,0
0.37609,1,2.87844,1.62151,4.87815,0.00320333,-0.00355283,0.0564964,2.70247,0,0,0
0.37609,2,-1.41417,7.97148,1.31413,9.71033e-06,-1.06109e-05,2.01801e-06,2.40568,0,0,0
0.37609,3,0,0,0,0,0,0,0,0,0,0
0.37609,4,0,0,0,0,0,0,0,0,0,0
0.37609,5,0,0,0,0,0,0,0,0,0,0
0.430633,0,-2.62138,0.869064,5.12623,0.0161146,-0.013787,0.0110855,8.3036,0,0,0
0.430633,1,2.88148,1.61864,4.88087,0.00989701,-0.0105769,0.0806893,2.6994,0,0,0
0.430633,2,-1.41417,7.97147,1.31413,9.96485e-06,-1.08777e-05,1.99135e-06,2.40568,0,0,0
0.430633,3,0,0,0,0,0,0,0,0,0,0
0.430633,4,0,0,0,0,0,0,0,0,0,0
0.430633,5,0,0,0,0,0,0,0,0,0,0
0.483935,0,-2.61645,0.864271,5.1253,0.0304696,-0.0280787,0.0206621,8.3036,0,0,0
0.483935,1,2.88683,1.61381,4.88614,0.0210929,-0.0221342,0.107446,2.6994,0,0,0
0.483935,2,-1.41417,7.97147,1.31413,9.88944e-06,-1.08096e-05,1.97191e-06,2.40568,0,0,0
0.483935,3,0,0,0,0,0,0,0,0,0,0
0.483935,4,0,0,0,0,0,0,0,0,0,0
0.483935,5,0,0,0,0,0,0,0,0,0,0
0.534097,0,-2.60867,0.856636,5.12885,0.0520293,-0.0493095,0.0380326,8.28583,0,0,0
0.534097,1,2.8952,1.60658,4.89175,0.0412698,-0.0411271,0.131713,2.68809,0,0,0
0.534097,2,-1.41417,7.97147,1.31413,1.01061e-05,-1.10294e-05,1.96924e-06,2.40568,0,0,0
0.534097,3,0,0,0,0,0,0,0,0,0,0
0.534097,4,0,0,0,0,0,0,0,0,0,0
0.534097,5,0,0,0,0,0,0,0,0,0,0
0.589397,0,-2.59459,0.842677,5.12707,0.0919367,-0.0883133,0.0633402,8.28583,0,0,0
0.589397,1,2.89921,1.60445,4.90101,0.0412458,-0.0385269,0.146897,2.68809,0,0,0
