time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
7.0026e-05,0,-1.98368,2.39679,5.17868,0.497523,0.999946,0.920365,4.40508,0,0,0
7.0026e-05,1,-11.4999,5.75198,3.92983,-1.97913,0.169156,-1.17072,14.3606,0,0,0
7.0026e-05,2,-7.27419,5.76026,6.52827,-1.9486,-0.952461,-0.521177,7.91529,0,0,0
7.0026e-05,3,-3.14099,9.75374,4.00485,-0.728254,1.70483,0.0375497,13.8002,0,0,0
7.0026e-05,4,3.58312,8.41707,4.31761,2.88086,1.08655,-0.644441,10.7708,0,0,0
7.0026e-05,5,10.0691,5.2491,6.06522,3.43472,1.15836,-0.30771,12.8357,0,0,0
0.13504,0,-2.00853,2.41211,5.17202,0.362281,0.876959,0.991334,4.29725,0,0,0
0.13504,1,-11.4999,5.75198,3.92983,-1.97913,0.169156,-1.17072,14.3606,0,0,0
0.13504,2,-7.37234,5.6923,6.44289,-1.9391,-1.04359,-0.497932,7.67453,0,0,0
0.13504,3,-3.12881,9.78283,4.03795,-0.638073,1.55396,0.171328,13.83,0,0,0
0.13504,4,3.73989,8.45585,4.27172,2.94164,0.958237,-0.76031,10.5954,0,0,0
0.13504,5,10.2487,5.24978,6.06447,3.48979,0.999099,-0.404835,17.6936,0,0,0
0.271438,0,-2.04054,2.42584,5.29155,0.229646,0.762204,1.12124,4.29725,0,0,0
0.271438,1,-11.5977,5.73858,3.89397,-1.90224,0.0328392,-1.12567,16.0273,0,0,0
0.271438,2,-7.51839,5.61181,6.39646,-2.09622,-1.15706,-0.534972,7.67453,0,0,0
0.271438,3,-3.10647,9.80945,4.11971,-0.535199,1.42687,0.342169,13.83,0,0,0
0.271438,4,3.88468,8.45084,4.2534,2.99096,0.715674,-0.834312,10.5954,0,0,0
0.271438,5,10.2454,5.2017,6.04955,3.46867,0.830296,-0.524644,17.6936,0,0,0
0.408,0,-2.09046,2.47169,5.33973,0.0409797,0.658355,1.22229,4.56125,0,0,0
0.408,1,-11.7376,5.68955,3.84248,-1.58472,-0.261533,-1.04745,16.0273,0,0,0
0.408,2,-7.65245,5.5145,6.35368,-2.17949,-1.30222,-0.548013,11.598,0,0,0
0.408,3,-3.07505,9.82968,4.16643,-0.414379,1.29499,0.487084,11.5355,0,0,0
0.408,4,4.00378,8.47221,4.22335,2.91077,0.568169,-1.01418,10.0492,0,0,0
0.408,5,10.4207,5.19145,6.03413,3.51396,0.611028,-0.568394,20.3341,0,0,0
0.534629,0,-2.13615,2.48822,5.39537,-0.113978,0.594299,1.26509,4.56125,0,0,0
0.534629,1,-11.7376,5.68955,3.84248,-1.58472,-0.261533,-1.04745,13.0807,0,0,0
