time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
2.0986e-05,0,0.337413,-1.30558,7.44012,0.765594,0.52261,-0.129748,2.18904,0,0,0
2.0986e-05,1,0.108626,0.636817,4.15175,0.605817,0.371914,-0.15546,1.67904,0,0,0
2.0986e-05,2,1.54176,-2.60478,4.61007,0.126122,-0.145049,-0.252167,5.17911,0,0,0
2.0986e-05,3,0,0,0,0,0,0,0,0,0,0
2.0986e-05,4,0,0,0,0,0,0,0,0,0,0
2.0986e-05,5,0,0,0,0,0,0,0,0,0,0
0.0522947,0,0.370982,-1.28358,7.43494,0.733996,0.505327,-0.128077,1.77022,0,0,0
0.0522947,1,0.136614,0.652247,4.14447,0.588791,0.356472,-0.149866,2.99116,0,0,0
0.0522947,2,1.54176,-2.60478,4.61007,0.126122,-0.145049,-0.252167,5.17911,0,0,0
0.0522947,3,0,0,0,0,0,0,0,0,0,0
0.0522947,4,0,0,0,0,0,0,0,0,0,0
0.0522947,5,0,0,0,0,0,0,0,0,0,0
0.102471,0,0.406128,-1.26199,7.43013,0.719764,0.492648,-0.126105,1.77022,0,0,0
0.102471,1,0.166406,0.666652,4.13646,0.579913,0.338379,-0.146219,2.99116,0,0,0
0.102471,2,1.54676,-2.61059,4.58394,0.0938206,-0.105231,-0.251553,5.17693,0,0,0
0.102471,3,0,0,0,0,0,0,0,0,0,0
0.102471,4,0,0,0,0,0,0,0,0,0,0
0.102471,5,0,0,0,0,0,0,0,0,0,0
0.15784,0,0.441239,-1.23792,7.42494,0.700229,0.485946,-0.121352,1.84318,0,0,0
0.15784,1,0.193376,0.683119,4.13004,0.562345,0.331051,-0.142462,3.03626,0,0,0
0.15784,2,1.54676,-2.61059,4.58394,0.0938206,-0.105231,-0.251553,5.17693,0,0,0
0.15784,3,0,0,0,0,0,0,0,0,0,0
0.15784,4,0,0,0,0,0,0,0,0,0,0
0.15784,5,0,0,0,0,0,0,0,0,0,0
0.219359,0,0.479426,-1.21138,7.42004,0.68961,0.486054,-0.115483,1.84318,0,0,0
0.219359,1,0.251191,0.712804,4.12303,0.547789,0.308845,-0.144243,3.10925,0,0,0
0.219359,2,1.55034,-2.61352,4.55989,0.0694149,-0.0724458,-0.24976,5.17852,0,0,0
0.219359,3,0,0,0,0,0,0,0,0,0,0
0.219359,4,0,0,0,0,0,0,0,0,0,0
0.219359,5,0,0,0,0,0,0,0,0,0,0
0.274649,0,0.510502,-1.18733,7.41675,0.663084,0.480604,-0.122398,1.92276,0,0,0
0.274649,1,0.251191,0.712804,4.12303,0.547789,0.308845,-0.144243,3.10925,0,0,0
