time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
2.6178e-05,0,-4.88016,-0.24808,4.8505,0.723492,-0.0962706,0.0840439,0.639736,0,0,0
2.6178e-05,1,2.64367,-0.030717,3.33023,-2.13159,0.928812,-0.616126,4.88368,0,0,0
2.6178e-05,2,0.245339,0.88872,10.2331,-0.586868,0.690745,-0.206102,2.3414,0,0,0
2.6178e-05,3,0,0,0,0,0,0,0,0,0,0
2.6178e-05,4,0,0,0,0,0,0,0,0,0,0
2.6178e-05,5,0,0,0,0,0,0,0,0,0,0
0.0538593,0,-4.8651,-0.251124,4.85711,0.674786,-0.0875698,0.0866806,2.03624,0,0,0
0.0538593,1,2.53839,0.0120966,3.2992,-2.12146,0.901237,-0.720939,1.64802,0,0,0
0.0538593,2,0.18962,0.943823,10.2229,-0.666711,0.783141,-0.190151,4.26378,0,0,0
0.0538593,3,0,0,0,0,0,0,0,0,0,0
0.0538593,4,0,0,0,0,0,0,0,0,0,0
0.0538593,5,0,0,0,0,0,0,0,0,0,0
0.104558,0,-4.84827,-0.255665,4.86735,0.6294,-0.0836938,0.0927307,2.03624,0,0,0
0.104558,1,2.40112,0.0768084,3.29934,-2.25518,0.974205,-0.757558,1.64802,0,0,0
0.104558,2,0.170744,0.955636,10.215,-0.589116,0.69383,-0.183052,4.26378,0,0,0
0.104558,3,0,0,0,0,0,0,0,0,0,0
0.104558,4,0,0,0,0,0,0,0,0,0,0
0.104558,5,0,0,0,0,0,0,0,0,0,0
0.162341,0,-4.80843,-0.268776,4.87479,0.671257,-0.104646,0.0904557,4.28281,0,0,0
0.162341,1,2.31484,0.102819,3.27146,-2.14878,0.873913,-0.847119,2.73304,0,0,0
0.162341,2,0.138243,0.993863,10.2098,-0.569853,0.706358,-0.19328,7.44164,0,0,0
0.162341,3,0,0,0,0,0,0,0,0,0,0
0.162341,4,0,0,0,0,0,0,0,0,0,0
0.162341,5,0,0,0,0,0,0,0,0,0,0
0.220062,0,-4.81477,-0.260769,4.88214,0.559467,-0.0580727,0.096716,4.28281,0,0,0
0.220062,1,2.21646,0.141354,3.24571,-2.11886,0.841134,-0.927516,2.73304,0,0,0
0.220062,2,0.12381,0.998934,10.2005,-0.495203,0.609266,-0.177119,7.45095,0,0,0
0.220062,3,0,0,0,0,0,0,0,0,0,0
0.220062,4,0,0,0,0,0,0,0,0,0,0
0.220062,5,0,0,0,0,0,0,0,0,0,0
0.273047,0,-4.79928,-0.266401,4.88963,0.532677,-0.0629722,0.113513,4.2551,0,0,0
0.273047,1,2.12536,0.18285,3.21493,-2.06028,0.817862,-1.0151,2.8041,0,0,0
0.273047,2,0.0984492,1.0179,10.1929,-0.475644,0.576979,-0.174684,7.45095,0,0,0
0.273047,3,0,0,0,0,0,0,0,0,0,0
0.273047,4,0,0,0,0,0,0,0,0,0,0
0.273047,5,0,0,0,0,0,0,0,0,0,0
0.325806,0,-4.78931,-0.270165,4.89801,0.482593,-0.057247,0.160969,4.2551,0,0,0
0.325806,1,2.03277,0.218008,3.18253,-2.0039,0.765512,-1.1018,2.8041,0,0,0
0.325806,2,0.0592731,1.05183,10.1857,-0.511968,0.605384,-0.1684,7.4106,0,0,0
0.325806,3,0,0,0,0,0,0,0,0,0,0
0.325806,4,0,0,0,0,0,0,0,0,0,0
0.325806,5,0,0,0,0,0,0,0,0,0,0
0.381071,0,-4.77713,-0.275765,4.90923,0.44697,-0.0575769,0.214863,4.2286,0,0,0
0.381071,1,1.94859,0.255914,3.14104,-1.89625,0.703317,-1.1951,2.87035,0,0,0
0.381071,2,0.0362843,1.07233,10.1784,-0.477684,0.572357,-0.169296,7.4106,0,0,0
0.381071,3,0,0,0,0,0,0,0,0,0,0
0.381071,4,0,0,0,0,0,0,0,0,0,0
0.381071,5,0,0,0,0,0,0,0,0,0,0
0.439047,0,-4.76519,-0.27929,4.92078,0.415288,-0.0522807,0.235272,4.2286,0,0,0
0.439047,1,1.84108,0.293984,3.10877,-1.91074,0.669198,-1.25977,2.87035,0,0,0
0.439047,2,-0.0138256,1.10827,10.1779,-0.547407,0.60658,-0.194527,7.37101,0,0,0
0.439047,3,0,0,0,0,0,0,0,0,0,0
0.439047,4,0,0,0,0,0,0,0,0,0,0
0.439047,5,0,0,0,0,0,0,0,0,0,0
0.498562,0,-4.74461,-0.290281,4.93976,0.410935,-0.0690435,0.299009,4.19667,0,0,0
0.498562,1,1.81832,0.306537,3.04122,-1.61457,0.528106,-1.27888,2.90176,0,0,0
0.498562,2,-0.0687355,1.15183,10.1773,-0.618615,0.657267,-0.229215,7.37101,0,0,0
0.498562,3,0,0,0,0,0,0,0,0,0,0
0.498562,4,0,0,0,0,0,0,0,0,0,0
0.498562,5,0,0,0,0,0,0,0,0,0,0
0.551863,0,-4.72577,-0.298811,4.95417,0.403235,-0.0750803,0.351021,4.19667,0,0,0
0.551863,1,1.7227,0.351588,2.9972,-1.57823,0.525661,-1.3113,2.90176,0,0,0
0.551863,2,-0.096922,1.16526,10.1733,-0.582997,0.592853,-0.260056,7.33485,0,0,0
0.551863,3,0,0,0,0,0,0,0,0,0,0
0.551863,4,0,0,0,0,0,0,0,0,0,0
0.551863,5,0,0,0,0,0,0,0,0,0,0
0.602002,0,-4.70602,-0.311303,4.96708,0.401459,-0.0952349,0.395927,4.14676,0,0,0
0.602002,1,1.64774,0.382076,2.96992,-1.51973,0.497383,-1.25399,2.98724,0,0,0
0.602002,2,-0.159847,1.21154,10.1523,-0.663023,0.651021,-0.366761,7.33485,0,0,0
0.602002,3,0,0,0,0,0,0,0,0,0,0
0.602002,4,0,0,0,0,0,0,0,0,0,0
0.602002,5,0,0,0,0,0,0,0,0,0,0
0.652188,0,-4.68332,-0.326097,4.99258,0.401804,-0.117238,0.455617,4.14676,0,0,0
0.652188,1,1.59168,0.403026,2.91982,-1.40937,0.453919,-1.23105,2.98724,0,0,0
