time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
2.4349e-05,0,-0.0244039,1.13389,5.12651,-0.143967,0.000973567,-0.00272686,0.376804,0,0,0
2.4349e-05,1,3.89882,-2.61905,5.11258,-0.00822956,-0.00120153,0.00637274,0.028227,0,0,0
2.4349e-05,2,-0.207479,-6.57562,5.13078,-0.0762008,-0.0221703,-0.00221143,0.174575,0,0,0
2.4349e-05,3,0,0,0,0,0,0,0,0,0,0
2.4349e-05,4,0,0,0,0,0,0,0,0,0,0
2.4349e-05,5,0,0,0,0,0,0,0,0,0,0
0.0566577,0,-0.0309146,1.13209,5.12636,-0.130834,-0.00472849,-0.00266165,0.350712,0,0,0
0.0566577,1,3.89834,-2.61916,5.11289,-0.00800145,-0.001126,0.00622891,0.028227,0,0,0
0.0566577,2,-0.21239,-6.57689,5.13068,-0.074495,-0.0209513,-0.00218218,0.174575,0,0,0
0.0566577,3,0,0,0,0,0,0,0,0,0,0
0.0566577,4,0,0,0,0,0,0,0,0,0,0
0.0566577,5,0,0,0,0,0,0,0,0,0,0
0.114826,0,-0.0331341,1.1324,5.1264,-0.13879,-0.00335229,-0.00317062,0.350712,0,0,0
0.114826,1,3.8978,-2.61929,5.11313,-0.00782074,-0.00104555,0.00608712,1.0284,0,0,0
0.114826,2,-0.217604,-6.578,5.1306,-0.0742307,-0.019243,-0.00210354,3.26745,0,0,0
0.114826,3,0,0,0,0,0,0,0,0,0,0
0.114826,4,0,0,0,0,0,0,0,0,0,0
0.114826,5,0,0,0,0,0,0,0,0,0,0
0.167531,0,-0.0422996,1.13269,5.12618,-0.137675,-0.0014396,-0.00281278,3.27967,0,0,0
0.167531,1,3.89734,-2.61947,5.11351,-0.00761065,-0.00124877,0.00589972,5.33869,0,0,0
0.167531,2,-0.221577,-6.57913,5.1305,-0.0705545,-0.0182995,-0.00221351,3.26745,0,0,0
0.167531,3,0,0,0,0,0,0,0,0,0,0
0.167531,4,0,0,0,0,0,0,0,0,0,0
0.167531,5,0,0,0,0,0,0,0,0,0,0
0.220256,0,-0.0527025,1.13455,5.12616,-0.141118,0.00532037,-0.0023269,3.26975,0,0,0
0.220256,1,3.8968,-2.6196,5.1138,-0.00764123,-0.00124603,0.00596065,5.33869,0,0,0
0.220256,2,-0.224237,-6.58013,5.13037,-0.0637777,-0.0174861,-0.00493983,3.31326,0,0,0
0.220256,3,0,0,0,0,0,0,0,0,0,0
0.220256,4,0,0,0,0,0,0,0,0,0,0
0.220256,5,0,0,0,0,0,0,0,0,0,0
0.275934,0,-0.0645008,1.13281,5.12626,-0.119234,-0.00134297,0.00235902,3.26975,0,0,0
0.275934,1,3.89616,-2.6197,5.11473,-0.00787034,-0.00120139,0.00978105,5.33953,0,0,0
0.275934,2,-0.227556,-6.58125,5.12999,-0.0605427,-0.0169783,-0.013768,3.31326,0,0,0
0.275934,3,0,0,0,0,0,0,0,0,0,0
0.275934,4,0,0,0,0,0,0,0,0,0,0
0.275934,5,0,0,0,0,0,0,0,0,0,0
0.330601,0,-0.0710548,1.13195,5.12675,-0.113846,-0.00368475,0.00473431,3.26475,0,0,0
0.330601,1,3.89549,-2.61946,5.11526,-0.00846892,-0.000521294,0.021367,5.33953,0,0,0
0.330601,2,-0.231805,-6.5821,5.12988,-0.0615993,-0.0147844,-0.0303323,3.31825,0,0,0
0.330601,3,0,0,0,0,0,0,0,0,0,0
0.330601,4,0,0,0,0,0,0,0,0,0,0
0.330601,5,0,0,0,0,0,0,0,0,0,0
0.386691,0,-0.078093,1.13196,5.12802,-0.111058,-0.00321371,0.0100785,3.26475,0,0,0
0.386691,1,3.89466,-2.61848,5.11672,-0.00972745,0.00171573,0.0377108,5.33953,0,0,0
0.386691,2,-0.237076,-6.58238,5.12749,-0.0669372,-0.00805439,-0.0655859,3.31825,0,0,0
0.386691,3,0,0,0,0,0,0,0,0,0,0
0.386691,4,0,0,0,0,0,0,0,0,0,0
0.386691,5,0,0,0,0,0,0,0,0,0,0
0.436871,0,-0.0864113,1.13459,5.12973,-0.113271,0.00595689,0.0145921,3.25623,0,0,0
0.436871,1,3.89397,-2.61602,5.12021,-0.0117538,0.00690053,0.0618667,5.33938,0,0,0
0.436871,2,-0.24153,-6.58165,5.12313,-0.0680857,0.00352731,-0.0939298,3.32411,0,0,0
0.436871,3,0,0,0,0,0,0,0,0,0,0
0.436871,4,0,0,0,0,0,0,0,0,0,0
0.436871,5,0,0,0,0,0,0,0,0,0,0
0.487111,0,-0.0933043,1.13735,5.13085,-0.111087,0.0147509,0.0173424,3.25623,0,0,0
0.487111,1,3.89283,-2.61232,5.1239,-0.0168022,0.0140358,0.0842008,5.33938,0,0,0
0.487111,2,-0.245455,-6.5799,5.12288,-0.0648456,0.018715,-0.122035,3.32411,0,0,0
0.487111,3,0,0,0,0,0,0,0,0,0,0
0.487111,4,0,0,0,0,0,0,0,0,0,0
0.487111,5,0,0,0,0,0,0,0,0,0,0
0.539333,0,-0.0984366,1.13874,5.13441,-0.101794,0.016504,0.0197454,3.25098,0,0,0
0.539333,1,3.89356,-2.60491,5.1307,-0.0173754,0.0305197,0.110406,5.33525,0,0,0
0.539333,2,-0.251624,-6.57425,5.1145,-0.0706731,0.0468655,-0.148219,3.32611,0,0,0
0.539333,3,0,0,0,0,0,0,0,0,0,0
0.539333,4,0,0,0,0,0,0,0,0,0,0
0.539333,5,0,0,0,0,0,0,0,0,0,0
0.603108,0,-0.10461,1.14565,5.13333,-0.0986857,0.0353453,0.0246913,3.25098,0,0,0
0.603108,1,3.89704,-2.59478,5.13421,-0.010775,0.0523508,0.136251,5.31829,0,0,0
0.603108,2,-0.252713,-6.56773,5.11188,-0.0511291,0.0793519,-0.173125,3.32611,0,0,0
0.603108,3,0,0,0,0,0,0,0,0,0,0
0.603108,4,0,0,0,0,0,0,0,0,0,0
0.603108,5,0,0,0,0,0,0,0,0,0,0
0.655881,0,-0.117618,1.16422,5.13734,-0.117786,0.0892048,0.0454997,3.2389,0,0,0
0.655881,1,3.90057,-2.57701,5.14281,-0.00753007,0.0957946,0.166745,5.31829,0,0,0
0.655881,2,-0.265289,-6.54507,5.08538,-0.0587449,0.150884,-0.189126,3.31869,0,0,0
0.655881,3,0,0,0,0,0,0,0,0,0,0
0.655881,4,0,0,0,0,0,0,0,0,0,0
0.655881,5,0,0,0,0,0,0,0,0,0,0
0.706503,0,-0.127103,1.17689,5.13633,-0.125721,0.118896,0.0561533,3.2389,0,0,0
0.706503,1,3.90964,-2.55596,5.15578,0.013208,0.141831,0.19682,5.27893,0,0,0
0.706503,2,-0.266324,-6.52856,5.07635,-0.0415869,0.194196,-0.185906,3.31869,0,0,0
0.706503,3,0,0,0,0,0,0,0,0,0,0
0.706503,4,0,0,0,0,0,0,0,0,0,0
0.706503,5,0,0,0,0,0,0,0,0,0,0
0.766723,0,-0.143697,1.20231,5.13478,-0.157286,0.186248,0.075105,3.17148,0,0,0
0.766723,1,3.9219,-2.53043,5.16134,0.0408176,0.19653,0.227146,5.27893,0,0,0
0.766723,2,-0.261593,-6.51652,5.07396,-0.022842,0.234293,-0.166863,3.28971,0,0,0
0.766723,3,0,0,0,0,0,0,0,0,0,0
0.766723,4,0,0,0,0,0,0,0,0,0,0
0.766723,5,0,0,0,0,0,0,0,0,0,0
0.816884,0,-0.16428,1.23523,5.13465,-0.20267,0.270644,0.106309,3.17148,0,0,0
0.816884,1,3.9422,-2.50164,5.17309,0.094265,0.25342,0.262785,5.21537,0,0,0
0.816884,2,-0.254734,-6.48483,5.06058,0.0153076,0.316345,-0.135578,3.24566,0,0,0
0.816884,3,0,0,0,0,0,0,0,0,0,0
0.816884,4,0,0,0,0,0,0,0,0,0,0
0.816884,5,0,0,0,0,0,0,0,0,0,0
0.877135,0,-0.170384,1.25404,5.13353,-0.188471,0.292861,0.110811,3.29225,0,0,0
0.877135,1,3.95806,-2.46095,5.18182,0.122201,0.348544,0.294602,5.21537,0,0,0
0.877135,2,-0.253135,-6.44509,5.03987,0.0288114,0.41726,-0.114363,3.24566,0,0,0
0.877135,3,0,0,0,0,0,0,0,0,0,0
0.877135,4,0,0,0,0,0,0,0,0,0,0
0.877135,5,0,0,0,0,0,0,0,0,0,0
0.930221,0,-0.191293,1.29282,5.13247,-0.225461,0.375144,0.128457,3.29225,0,0,0
0.930221,1,3.99366,-2.41322,5.18611,0.216741,0.440829,0.347493,5.11353,0,0,0
0.930221,2,-0.235127,-6.38324,5.02568,0.0946001,0.508206,-0.0845865,3.14832,0,0,0
0.930221,3,0,0,0,0,0,0,0,0,0,0
0.930221,4,0,0,0,0,0,0,0,0,0,0
0.930221,5,0,0,0,0,0,0,0,0,0,0
0.985657,0,-0.236319,1.36433,5.13174,-0.348676,0.561557,0.167916,3.22962,0,0,0
0.985657,1,4.02366,-2.37009,5.19601,0.280836,0.509037,0.373094,5.11353,0,0,0
