time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
1.5001e-05,0,1.71238,3.87527,5.82705,0.754397,0.0615749,0.0248434,1.78587,0,0,0
1.5001e-05,1,2.58255,1.03985,6.73884,0.508083,-0.226197,-0.109746,0.876137,0,0,0
1.5001e-05,2,2.78155,1.77934,3.64842,0.370268,-0.108328,-0.0540635,0.742164,0,0,0
1.5001e-05,3,0,0,0,0,0,0,0,0,0,0
1.5001e-05,4,0,0,0,0,0,0,0,0,0,0
1.5001e-05,5,0,0,0,0,0,0,0,0,0,0
0.0583631,0,1.74701,3.88125,5.82935,0.736321,0.072045,0.0210313,2.95637,0,0,0
0.0583631,1,2.60443,1.02846,6.73412,0.485813,-0.220109,-0.108575,0.876137,0,0,0
0.0583631,2,2.78353,1.78183,3.64637,0.310011,-0.0849629,-0.0461479,4.41654,0,0,0
0.0583631,3,0,0,0,0,0,0,0,0,0,0
0.0583631,4,0,0,0,0,0,0,0,0,0,0
0.0583631,5,0,0,0,0,0,0,0,0,0,0
0.112949,0,1.77681,3.88867,5.83114,0.697725,0.0868809,0.0224467,2.95637,0,0,0
0.112949,1,2.62534,1.01718,6.72953,0.463856,-0.214691,-0.106426,4.71928,0,0,0
0.112949,2,2.78434,1.78265,3.64498,0.312837,-0.0820423,-0.0437539,4.41654,0,0,0
0.112949,3,0,0,0,0,0,0,0,0,0,0
0.112949,4,0,0,0,0,0,0,0,0,0,0
0.112949,5,0,0,0,0,0,0,0,0,0,0
0.170619,0,1.81274,3.89192,5.83328,0.693559,0.0831411,0.0288538,2.89231,0,0,0
0.170619,1,2.64539,1.00615,6.72559,0.442347,-0.209442,-0.104669,4.71928,0,0,0
0.170619,2,2.79855,1.77943,3.643,0.286698,-0.0779348,-0.0442079,4.4126,0,0,0
0.170619,3,0,0,0,0,0,0,0,0,0,0
0.170619,4,0,0,0,0,0,0,0,0,0,0
0.170619,5,0,0,0,0,0,0,0,0,0,0
0.223526,0,1.84947,3.89699,5.83571,0.691924,0.0853012,0.0426586,2.89231,0,0,0
0.223526,1,2.66189,0.998542,6.72125,0.411518,-0.191884,-0.104429,4.72621,0,0,0
0.223526,2,2.8066,1.78089,3.64064,0.254349,-0.0590068,-0.0497337,4.4126,0,0,0
0.223526,3,0,0,0,0,0,0,0,0,0,0
0.223526,4,0,0,0,0,0,0,0,0,0,0
0.223526,5,0,0,0,0,0,0,0,0,0,0
0.275678,0,1.8827,3.90453,5.83903,0.658414,0.0940019,0.0599229,2.82312,0,0,0
0.275678,1,2.67664,0.989876,6.71584,0.380388,-0.179006,-0.119123,4.72621,0,0,0
0.275678,2,2.82405,1.77683,3.639,0.258585,-0.0626938,-0.0668616,4.40012,0,0,0
0.275678,3,0,0,0,0,0,0,0,0,0,0
0.275678,4,0,0,0,0,0,0,0,0,0,0
0.275678,5,0,0,0,0,0,0,0,0,0,0
0.328482,0,1.91346,3.91026,5.84528,0.640218,0.0959617,0.0772491,2.82312,0,0,0
0.328482,1,2.69883,0.978207,6.71013,0.38565,-0.180318,-0.141861,4.72972,0,0,0
