time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
2.0952e-05,0,-3.81662,-2.38743,6.84225,-0.434208,0.188302,-0.0817909,0.934465,0,0,0
2.0952e-05,1,-3.91245,-1.99246,3.99641,-0.0463134,-0.0104071,0.000522002,0.457488,0,0,0
2.0952e-05,2,-2.33454,-3.96416,5.01558,-0.497961,0.00881367,-0.272867,1.60427,0,0,0
2.0952e-05,3,0,0,0,0,0,0,0,0,0,0
2.0952e-05,4,0,0,0,0,0,0,0,0,0,0
2.0952e-05,5,0,0,0,0,0,0,0,0,0,0
0.0534277,0,-3.84871,-2.36874,6.83915,-0.462026,0.226241,-0.0876358,0.934465,0,0,0
0.0534277,1,-3.9238,-1.98775,3.99667,-0.0581895,0.00322778,0.0187134,8.37867,0,0,0
0.0534277,2,-2.36854,-3.96986,5.00392,-0.516678,-0.00763691,-0.26237,6.91312,0,0,0
0.0534277,3,0,0,0,0,0,0,0,0,0,0
0.0534277,4,0,0,0,0,0,0,0,0,0,0
0.0534277,5,0,0,0,0,0,0,0,0,0,0
0.105152,0,-3.8759,-2.35452,6.83526,-0.467443,0.241134,-0.0956165,8.05873,0,0,0
0.105152,1,-3.92742,-1.98871,3.99794,-0.0409932,-0.0060098,0.029282,8.37867,0,0,0
0.105152,2,-2.41175,-3.97511,4.99231,-0.561063,-0.0212731,-0.257302,6.91312,0,0,0
0.105152,3,0,0,0,0,0,0,0,0,0,0
0.105152,4,0,0,0,0,0,0,0,0,0,0
0.105152,5,0,0,0,0,0,0,0,0,0,0
0.163366,0,-3.89259,-2.34693,6.8314,-0.434367,0.228433,-0.097368,8.05873,0,0,0
0.163366,1,-3.93603,-1.98592,3.99903,-0.0430498,-0.00115072,0.033973,8.46278,0,0,0
0.163366,2,-2.45101,-3.97342,4.98074,-0.58813,-0.00783923,-0.203362,6.98821,0,0,0
0.163366,3,0,0,0,0,0,0,0,0,0,0
0.163366,4,0,0,0,0,0,0,0,0,0,0
0.163366,5,0,0,0,0,0,0,0,0,0,0
0.225392,0,-3.92646,-2.32614,6.82699,-0.46891,0.26835,-0.105471,8.08991,0,0,0
0.225392,1,-3.95176,-1.97864,4.00105,-0.0671377,0.0177694,0.0348466,8.46278,0,0,0
0.225392,2,-2.48497,-3.97888,4.9832,-0.594308,-0.0218615,-0.185421,6.98821,0,0,0
0.225392,3,0,0,0,0,0,0,0,0,0,0
0.225392,4,0,0,0,0,0,0,0,0,0,0
0.225392,5,0,0,0,0,0,0,0,0,0,0
0.275556,0,-3.95593,-2.3111,6.82276,-0.471184,0.277204,-0.120219,8.08991,0,0,0
0.275556,1,-3.97981,-1.958,4.00275,-0.129947,0.0774267,0.0278772,8.48667,0,0,0
0.275556,2,-2.51492,-3.98269,4.97056,-0.586996,-0.0278618,-0.150332,7.04834,0,0,0
0.275556,3,0,0,0,0,0,0,0,0,0,0
0.275556,4,0,0,0,0,0,0,0,0,0,0
0.275556,5,0,0,0,0,0,0,0,0,0,0
0.336201,0,-3.97485,-2.30158,6.82014,-0.432249,0.264119,-0.146751,8.13513,0,0,0
0.336201,1,-3.98635,-1.955,4.00368,-0.154264,0.0901734,-0.00100243,8.48667,0,0,0
0.336201,2,-2.53383,-3.98957,4.97265,-0.541985,-0.0450035,-0.109778,7.04834,0,0,0
0.336201,3,0,0,0,0,0,0,0,0,0,0
0.336201,4,0,0,0,0,0,0,0,0,0,0
0.336201,5,0,0,0,0,0,0,0,0,0,0
0.39335,0,-3.99592,-2.28864,6.81744,-0.411827,0.273855,-0.184577,8.13513,0,0,0
0.39335,1,-4.00528,-1.94091,4.00435,-0.181062,0.125316,-0.029679,8.50035,0,0,0
0.39335,2,-2.55504,-3.99241,4.97078,-0.513626,-0.0447243,-0.0751511,7.08681,0,0,0
0.39335,3,0,0,0,0,0,0,0,0,0,0
0.39335,4,0,0,0,0,0,0,0,0,0,0
0.39335,5,0,0,0,0,0,0,0,0,0,0
0.451458,0,-4.01734,-2.27522,6.80671,-0.392043,0.288948,-0.219969,8.16397,0,0,0
0.451458,1,-4.02709,-1.92471,4.00247,-0.166116,0.136904,-0.0505937,8.50035,0,0,0
0.451458,2,-2.57377,-3.99798,4.973,-0.471774,-0.0541417,-0.0429046,7.08681,0,0,0
0.451458,3,0,0,0,0,0,0,0,0,0,0
0.451458,4,0,0,0,0,0,0,0,0,0,0
0.451458,5,0,0,0,0,0,0,0,0,0,0
0.504312,0,-4.03369,-2.25778,6.80046,-0.355005,0.314608,-0.252066,8.16397,0,0,0
0.504312,1,-4.04914,-1.90282,4.00005,-0.196331,0.190724,-0.0711476,8.52096,0,0,0
0.504312,2,-2.59276,-4.00524,4.97809,-0.438896,-0.0707196,0.0145133,7.12349,0,0,0
0.504312,3,0,0,0,0,0,0,0,0,0,0
0.504312,4,0,0,0,0,0,0,0,0,0,0
0.504312,5,0,0,0,0,0,0,0,0,0,0
0.554598,0,-4.0396,-2.24642,6.81315,-0.282945,0.315579,-0.28086,8.18486,0,0,0
0.554598,1,-4.05523,-1.89174,3.99606,-0.170013,0.199534,-0.0791058,8.52096,0,0,0
0.554598,2,-2.6167,-4.00764,4.98866,-0.447929,-0.0721786,0.0859426,7.12349,0,0,0
0.554598,3,0,0,0,0,0,0,0,0,0,0
0.554598,4,0,0,0,0,0,0,0,0,0,0
0.554598,5,0,0,0,0,0,0,0,0,0,0
0.607745,0,-4.05217,-2.22122,6.82038,-0.247106,0.365559,-0.310783,8.18486,0,0,0
0.607745,1,-4.06917,-1.87037,3.99146,-0.17498,0.241547,-0.0723977,8.52429,0,0,0
